ID,nameAr,isActive
00000000-0000-4000-8000-000000000001,التخطيط ومشروعات الغاز وتنمية الاعمال,true
00000000-0000-4000-8000-000000000002,العمليات والشبكات,true
00000000-0000-4000-8000-000000000003,الإنتاج وتنمية الحقول,true
00000000-0000-4000-8000-000000000004,التبعية للعضو المنتدب التنفيذى,true
00000000-0000-4000-8000-000000000005,الرقابة على الشركات الاجنبية والمشتركة,true
00000000-0000-4000-8000-000000000006,الشئون المالية,true
00000000-0000-4000-8000-000000000007,الشئون الإدارية,true
00000000-0000-4000-8000-000000000008,الاتفاقيات والاستكشاف,true
00000000-0000-4000-8000-000000000009,التجارة الخارجية,true
00000000-0000-4000-8000-000000000010,الشئون القانونية,true
00000000-0000-4000-8000-000000000011,التجارة الداخلية والشئون الاقتصادية,true
00000000-0000-4000-8000-000000000012,المكتب الفنى والمشروعات الخاصة وسلامة العمليات,true
00000000-0000-4000-8000-000000000013,الأمن,true
00000000-0000-4000-8000-000000000014,العلاقات الحكومية,true
00000000-0000-4000-8000-000000000015,نظم المعلومات والاتصالات,true
00000000-0000-4000-8000-000000000016,الامانة العامة لمجلس الادارة,true
00000000-0000-4000-8000-000000000017,الإعلام,true
00000000-0000-4000-8000-000000000018,حماية البيئة,true
00000000-0000-4000-8000-000000000019,العلاقات الدولية,true
00000000-0000-4000-8000-000000000020,العقود,true
00000000-0000-4000-8000-000000000021,السلامة والصحة المهنية,true
00000000-0000-4000-8000-000000000022,الاستراتيجيات ودعم اتخاذ القرار,true
